Name                Version    License                              
 GitPython           3.1.26     BSD License                          
 PyYAML              6.0        MIT License                          
 attrs               21.4.0     MIT License                          
 aws-cdk-lib         2.8.0      Apache-2.0                           
 bandit              1.7.2      Apache Software License              
 black               22.1.0     MIT License                          
 cattrs              1.10.0     MIT License                          
 certifi             2021.10.8  Mozilla Public License 2.0 (MPL 2.0) 
 charset-normalizer  2.0.11     MIT License                          
 click               8.0.3      BSD License                          
 constructs          10.0.50    Apache-2.0                           
 dparse              0.5.1      MIT License                          
 gitdb               4.0.9      BSD License                          
 idna                3.3        BSD License                          
 jsii                1.52.1     Apache Software License              
 mypy-extensions     0.4.3      MIT License                          
 packaging           21.3       Apache Software License; BSD License 
 pathspec            0.9.0      Mozilla Public License 2.0 (MPL 2.0) 
 pbr                 5.8.0      Apache Software License              
 platformdirs        2.4.1      MIT License                          
 publication         0.0.3      MIT License                          
 pyparsing           3.0.7      MIT License                          
 python-dateutil     2.8.2      Apache Software License; BSD License 
 requests            2.27.1     Apache Software License              
 safety              1.10.3     MIT License                          
 six                 1.16.0     MIT License                          
 smmap               5.0.0      BSD License                          
 stevedore           3.5.0      Apache Software License              
 toml                0.10.2     MIT License                          
 tomli               2.0.0      MIT License                          
 typing-extensions   4.0.1      Python Software Foundation License   
 urllib3             1.26.8     MIT License                          
